year_month,plan,status,monthly_action,n_customers
2024-01,Forfettario,Active,New,2001
2024-01,Forfettario,Active,Renew_Change_Plan,22
2024-01,Forfettario,Active,Renew_Same_Plan,3627
2024-01,Forfettario,Active,Resurrected,124
2024-01,Forfettario,Active,Still_Active,20117
2024-01,Forfettario,Churned,Expired,1159
2024-01,Forfettario,Churned,Refunded,96
2024-01,Forfettario,Churned,Still_Churned,6708
2024-01,Forfettario,Pending,New_Pending,1
2024-01,Semplificato,Active,New,79
2024-01,Semplificato,Active,Renew_Change_Plan,19
2024-01,Semplificato,Active,Renew_Same_Plan,13
2024-01,Semplificato,Active,Resurrected,5
2024-01,Semplificato,Active,Still_Active,255
2024-01,Semplificato,Churned,Expired,11
2024-01,Semplificato,Churned,Refunded,3
2024-01,Semplificato,Churned,Still_Churned,53
2024-02,Forfettario,Active,New,1214
2024-02,Forfettario,Active,Renew_Change_Plan,24
2024-02,Forfettario,Active,Renew_Same_Plan,1694
2024-02,Forfettario,Active,Resurrected,146
2024-02,Forfettario,Active,Still_Active,25395
2024-02,Forfettario,Churned,Expired,592
2024-02,Forfettario,Churned,Refunded,60
2024-02,Forfettario,Churned,Still_Churned,7813
2024-02,Forfettario,Pending,New_Pending,1
2024-02,Semplificato,Active,New,24
2024-02,Semplificato,Active,Renew_Change_Plan,14
2024-02,Semplificato,Active,Renew_Same_Plan,16
2024-02,Semplificato,Active,Resurrected,8
2024-02,Semplificato,Active,Still_Active,343
2024-02,Semplificato,Churned,Expired,5
2024-02,Semplificato,Churned,Refunded,1
2024-02,Semplificato,Churned,Still_Churned,67
2024-03,Forfettario,Active,New,1066
2024-03,Forfettario,Active,Renew_Change_Plan,21
2024-03,Forfettario,Active,Renew_Same_Plan,1516
2024-03,Forfettario,Active,Resurrected,102
2024-03,Forfettario,Active,Still_Active,26297
2024-03,Forfettario,Churned,Expired,582
2024-03,Forfettario,Churned,Refunded,70
2024-03,Forfettario,Churned,Still_Churned,8362
2024-03,Semplificato,Active,New,30
2024-03,Semplificato,Active,Renew_Change_Plan,8
2024-03,Semplificato,Active,Renew_Same_Plan,8
2024-03,Semplificato,Active,Resurrected,2
2024-03,Semplificato,Active,Still_Active,374
2024-03,Semplificato,Churned,Expired,7
2024-03,Semplificato,Churned,Refunded,11
2024-03,Semplificato,Churned,Still_Churned,73
2024-04,Forfettario,Active,New,876
2024-04,Forfettario,Active,Renew_Change_Plan,22
2024-04,Forfettario,Active,Renew_Same_Plan,1289
2024-04,Forfettario,Active,Resurrected,104
2024-04,Forfettario,Active,Still_Active,27168
2024-04,Forfettario,Churned,Expired,486
2024-04,Forfettario,Churned,Refunded,47
2024-04,Forfettario,Churned,Still_Churned,8909
2024-04,Forfettario,Pending,New_Pending,1
2024-04,Semplificato,Active,New,44
2024-04,Semplificato,Active,Renew_Change_Plan,9
2024-04,Semplificato,Active,Renew_Same_Plan,7
2024-04,Semplificato,Active,Resurrected,5
2024-04,Semplificato,Active,Still_Active,398
2024-04,Semplificato,Churned,Expired,7
2024-04,Semplificato,Churned,Refunded,1
2024-04,Semplificato,Churned,Still_Churned,89
2024-05,Forfettario,Active,New,893
2024-05,Forfettario,Active,Renew_Change_Plan,37
2024-05,Forfettario,Active,Renew_Same_Plan,1532
2024-05,Forfettario,Active,Resurrected,90
2024-05,Forfettario,Active,Still_Active,27269
2024-05,Forfettario,Churned,Expired,584
2024-05,Forfettario,Churned,Refunded,49
2024-05,Forfettario,Churned,Still_Churned,9351
2024-05,Semplificato,Active,New,39
2024-05,Semplificato,Active,Renew_Change_Plan,8
2024-05,Semplificato,Active,Renew_Same_Plan,9
2024-05,Semplificato,Active,Resurrected,3
2024-05,Semplificato,Active,Still_Active,431
2024-05,Semplificato,Churned,Expired,11
2024-05,Semplificato,Churned,Still_Churned,96
2024-06,Forfettario,Active,New,810
2024-06,Forfettario,Active,Renew_Change_Plan,23
2024-06,Forfettario,Active,Renew_Same_Plan,1220
2024-06,Forfettario,Active,Resurrected,101
2024-06,Forfettario,Active,Still_Active,28015
2024-06,Forfettario,Churned,Expired,528
2024-06,Forfettario,Churned,Refunded,35
2024-06,Forfettario,Churned,Still_Churned,9879
2024-06,Semplificato,Active,New,33
2024-06,Semplificato,Active,Renew_Change_Plan,11
2024-06,Semplificato,Active,Renew_Same_Plan,3
2024-06,Semplificato,Active,Resurrected,11
2024-06,Semplificato,Active,Still_Active,470
2024-06,Semplificato,Churned,Expired,8
2024-06,Semplificato,Churned,Refunded,2
2024-06,Semplificato,Churned,Still_Churned,104
2024-07,Forfettario,Active,New,758
2024-07,Forfettario,Active,Renew_Change_Plan,30
2024-07,Forfettario,Active,Renew_Same_Plan,1221
2024-07,Forfettario,Active,Resurrected,94
2024-07,Forfettario,Active,Still_Active,28341
2024-07,Forfettario,Churned,Expired,533
2024-07,Forfettario,Churned,Refunded,46
2024-07,Forfettario,Churned,Still_Churned,10343
2024-07,Semplificato,Active,New,36
2024-07,Semplificato,Active,Renew_Change_Plan,16
2024-07,Semplificato,Active,Renew_Same_Plan,13
2024-07,Semplificato,Active,Resurrected,9
2024-07,Semplificato,Active,Still_Active,496
2024-07,Semplificato,Churned,Expired,11
2024-07,Semplificato,Churned,Refunded,3
2024-07,Semplificato,Churned,Still_Churned,114
2024-08,Forfettario,Active,Still_Active,29026
2024-08,Forfettario,Churned,Expired,1418
2024-08,Forfettario,Churned,Still_Churned,10922
2024-08,Semplificato,Active,Still_Active,549
2024-08,Semplificato,Churned,Expired,21
2024-08,Semplificato,Churned,Still_Churned,128
