year_month,plan,status,monthly_action,n_customers
2022-09,Forfettario,Active,Still_Active,12569
2022-08,Forfettario,Churned,Expired,137
2024-01,Semplificato,Churned,Expired,10
2021-02,Forfettario,Churned,Refunded,3
2020-03,Semplificato,Active,Still_Active,8
2022-09,Forfettario,Active,New,939
2021-03,Semplificato,Active,Renew_Change_Plan,1
2022-08,Semplificato,Churned,Expired,3
2024-02,Semplificato,Active,New,24
2020-05,Forfettario,Active,Renew_Same_Plan,88
2021-12,Semplificato,Active,Renew_Change_Plan,4
2022-06,Semplificato,Active,Renew_Change_Plan,4
2023-08,Semplificato,Active,Renew_Same_Plan,2
2024-05,Forfettario,Churned,Expired,584
2023-11,Semplificato,Active,Renew_Same_Plan,4
2023-04,Forfettario,Active,Resurrected,51
2024-07,Semplificato,Active,Renew_Same_Plan,13
2023-04,Semplificato,Churned,Refunded,2
2023-02,Semplificato,Active,Renew_Change_Plan,7
2024-01,Forfettario,Active,Pending_Activated,1865
2018-07,Forfettario,Active,Still_Active,166
2024-08,Forfettario,Churned,Still_Churned,10254
2022-11,Semplificato,Churned,Expired,1
2023-08,Semplificato,Active,New,8
2022-10,Forfettario,Active,Renew_Same_Plan,454
2021-08,Forfettario,Active,Resurrected,9
2022-09,Forfettario,Churned,Expired,197
2023-03,Forfettario,Active,New,1205
2022-10,Forfettario,Churned,Refunded,23
2022-08,Semplificato,Active,Renew_Change_Plan,1
2023-10,Semplificato,Active,Still_Active,246
2023-07,Forfettario,Active,Resurrected,61
2022-03,Semplificato,Active,Still_Active,77
2019-10,Forfettario,Churned,Refunded,2
2019-05,Forfettario,Churned,Refunded,6
2023-01,Forfettario,Churned,Refunded,16
2020-06,Forfettario,Active,Still_Active,2038
2024-01,Forfettario,Active,Renew_Change_Plan,3
2024-06,Semplificato,Active,Renew_Change_Plan,10
2020-12,Semplificato,Active,Still_Active,29
2021-11,Forfettario,Active,Resurrected,15
2022-05,Semplificato,Active,Renew_Change_Plan,3
2020-04,Forfettario,Churned,Still_Churned,173
